Symbol,Sector
ACM,Industrials
AEO,Consumer Discretionary
AFG,Financials
AGCO,Industrials
AIT,Industrials
AL,Industrials
ALK,Industrials
AM,Energy
AMG,Financials
AMKR,Information Technology
APA,Energy
ARW,Information Technology
ASH,Materials
ATR,Materials
AXS,Financials
AZPN,Information Technology
BDC,Industrials
BJ,Consumer Staples
BKH,Utilities
BOH,Financials
BRX,Real Estate
BSX,Health Care
BWA,Consumer Discretionary
CADE,Financials
CAKE,Consumer Discretionary
CATY,Financials
CBSH,Financials
CDW,Information Technology
CIEN,Information Technology
CLF,Materials
CNXC,Industrials
COG,Energy
COLM,Consumer Discretionary
COTY,Consumer Staples
CPT,Real Estate
CR,Industrials
CROX,Consumer Discretionary
CW,Industrials
DAR,Consumer Staples
DKNG,Consumer Discretionary
DLB,Information Technology
DNOW,Energy
DPZ,Consumer Discretionary
DRH,Real Estate
DTM,Energy
EGP,Real Estate
EHC,Health Care
ENS,Industrials
EPRT,Real Estate
EQH,Financials
EQT,Energy
ESE,Industrials
ESNT,Financials
ESRT,Real Estate
EVR,Financials
EXP,Materials
FAF,Financials
FHN,Financials
FLO,Consumer Staples
FLS,Industrials
FNB,Financials
FR,Real Estate
FRT,Real Estate
FWONK,Communication Services
G,Financials
GATX,Industrials
GHC,Consumer Discretionary
GMED,Health Care
GNRC,Industrials
GNTX,Consumer Discretionary
GPI,Consumer Discretionary
GPK,Materials
GWRE,Information Technology
HAE,Health Care
HCI,Financials
HEIA,Industrials
HHC,Real Estate
HI,Industrials
HIW,Real Estate
HLI,Financials
HOG,Consumer Discretionary
HR,Real Estate
HRI,Industrials
HRB,Consumer Discretionary
HWKN,Materials
HXL,Materials
IBP,Consumer Discretionary
ICUI,Health Care
IDA,Utilities
IDEX,Industrials
IEX,Industrials
IMAX,Communication Services
INGR,Consumer Staples
INSP,Health Care
IOSP,Materials
ITT,Industrials
JHG,Financials
JLL,Real Estate
JW-A,Communication Services
KMPR,Financials
KNF,Industrials
KNX,Industrials
KNTK,Energy
KRC,Real Estate
LANC,Consumer Staples
LEA,Consumer Discretionary
LKQ,Consumer Discretionary
LNW,Consumer Discretionary
LPLA,Financials
LSTR,Industrials
LXP,Real Estate
MANH,Information Technology
MAN,Industrials
MATX,Industrials
MCY,Financials
MDU,Utilities
MKL,Financials
MKSI,Information Technology
MMI,Communication Services
MMSI,Health Care
MMS,Industrials
MNST,Consumer Staples
MOG-A,Industrials
MSA,Industrials
MYRG,Industrials
NBR,Energy
NEU,Materials
NFBK,Financials
NKTR,Health Care
NNN,Real Estate
NOG,Energy
NRC,Industrials
NRDY,Consumer Discretionary
NTNX,Information Technology
NVT,Industrials
NYCB,Financials
OGE,Utilities
OGS,Utilities
OHI,Real Estate
OII,Energy
OLN,Materials
OMF,Financials
ORI,Financials
OZK,Financials
PCRX,Health Care
PNM,Utilities
POL,Materials
PRGS,Information Technology
PRK,Financials
PSN,Industrials
PTEN,Energy
QRVO,Information Technology
RBC,Industrials
RCM,Health Care
RDNT,Health Care
RH,Consumer Discretionary
RHP,Real Estate
RMAX,Real Estate
RNGR,Energy
RNR,Financials
ROIC,Real Estate
RRX,Industrials
RS,Materials
RXO,Industrials
SCI,Consumer Discretionary
SEIC,Financials
SFM,Consumer Staples
SHO,Real Estate
SIG,Consumer Discretionary
SM,Energy
SMTC,Information Technology
SNX,Information Technology
SPSC,Information Technology
SR,Utilities
SRCL,Industrials
STAG,Real Estate
STC,Financials
SUM,Materials
SUPN,Health Care
TGNA,Communication Services
TGS,Utilities
THRM,Consumer Discretionary
TKR,Industrials
TNL,Consumer Discretionary
TRMK,Financials
TRMR,Communication Services
TRNO,Real Estate
TRN,Industrials
TTEC,Industrials
TXRH,Consumer Discretionary
UCB,Financials
UMBF,Financials
UMPQ,Financials
UNF,Industrials
UNVR,Industrials
UVV,Consumer Staples
VBTX,Financials
VLY,Financials
VSH,Information Technology
VSTO,Consumer Discretionary
WDFC,Consumer Staples
WEN,Consumer Discretionary
WERN,Industrials
WHR,Consumer Discretionary
WINA,Consumer Discretionary
WMS,Industrials
WRBY,Consumer Discretionary
WRK,Materials
WSO,Industrials
WTFC,Financials
WWE,Communication Services
XPEL,Consumer Discretionary
